,features,labels
0,We are facing multiple issues related to road safety some of them include the \nRoad being dug out but never repaired making it extremely dangerous for pedestrain and kids as vehicle move close by.\n\nThere always a cry for not enough space becuase of illegal parking  on road side.\n\nPlus there is a constant movement of heavy vehicle in area even though they are prohibited.\n\nI hope the issue get addresss soon.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
1,This is a really bad road. we need it cleaned as some people are now using it as dumping area.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
2,This needs to be fixed asap.,"98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
3,"We observed frequently heavy traffic at dahisar check naka. Most of the time the reason for that is  \""  Traffic signal are off which is done by traffic police for unknown reason \"". I request concerned  authority to look into this matter .","98    Traffic Jams/Congestion Or Bottlenecks
Name: title, dtype: object"
4,A pothole in front of Chand Shahwli Baba Dargah on Pipeline Road near IIT Boundary is causing daily traffic snarls. It is a nuisance for the Students living in nearby hostels. please look into the matter at the earliest.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
5,Garbage has been piling up near the Boat house near Powai lake for quite some time now. The condition has gone bad to worse in the last few months. Please look into the matter.,"44    Clearance Of Garbage Dump Or Black Spot
Name: title, dtype: object"
6,This is on the road while coming towards royal palms in aarey colony,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
7,Potholes uneven road in front of Riddhi Gardens complex. Lot of water gets accumulated there. It. Has become impossible to walk. Each and every vehicle passing by splash water while on the road.,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
8,Killer pitholes throughout from marol to saki naka.. Andheri-kurla road at its worst causing heavy inconvenience to motorists,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
9,From ghatkopar west station to jagdusha nagar the road is very bad and lot of pot holes and very few streetlights.  There is always a traffic jam during peak houes,"71    Tarring Or Asphalting Of Existing Road
Name: title, dtype: object"
10,Lots off potholes on service road of magatgane telephone exchange exchange  near 90 feet road of thakor complex kan divali east,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
11,Lots off potholes on service road of magatgane telephone exchange exchange  near 90 feet road of thakor complex kan divali east,"70    Fixing/Reparing Potholes
Name: title, dtype: object"
